Pos,"Team
T","Matches
M","Points
P","Rating
R"
1,"Australia
AUS",23,"2,714",118
2,"Pakistan
PAK",20,"2,316",116
3,"India
IND",33,"3,807",115
4,"New Zealand
NZ",27,"2,806",104
5,"England
ENG",24,"2,426",101
6,"South Africa
SA",19,"1,910",101
7,"Bangladesh
BAN",25,"2,451",98
8,"Sri Lanka
SL",25,"2,091",84
9,"Afghanistan
AFG",13,"1,067",82
10,"West Indies
WI",29,"2,129",73
11,"Zimbabwe
ZIM",25,"1,326",53
12,"Scotland
SCO",26,"1,184",46
13,"Ireland
IRE",19,796,42
14,"Nepal
NEP",36,"1,339",37
15,"United States
USA",27,874,32
16,"Namibia
NAM",28,813,29
17,"Netherlands
NED",21,527,25
18,"Oman
OMA",18,440,24
19,"UAE
UAE",36,594,17
20,"Papua New Guinea
PNG",28,106,4
